idno,auction,consign,sold,lotdamag,grossrev,ebitda,ftterm,fthead,ptterm,pthead,wcclaims,osha,type,legacy,training,t1,t2,t3,trhrs,prof,pfevale,jobdesc,selection,griev,fininf,plninf,rotat,cross,bonus,merit,senpay,intprom,intpost,applic,gmten,ei,oc
32,Indy,117952,86171,"$64,755.00","$27,749,684.00","$9,497,059.00",172,280,48,54,3,8,3,2,0,1,0,1,0,3,3,1,0,1,1,1,0,1,1,1,0,3,0,10,5,2.926,3.63
33,Iowa City,64583,39338,"$40,159.32","$13,577,474.11","$2,926,579.24",116,180,59,93,8,16,3,2,1,1,0,1,6,1,4,1,0,1,1,1,0,1,1,1,0,2,1,41,2,3.390,3.81
34,Jacksonville,53053,25169,"$24,826.00","$7,681,983.00","$1,654,074.00",77,91,72,42,3,7,2,2,1,1,1,0,3,1,5,0,0,1,1,1,0,1,1,1,0,4,1,4,1,3.186,2.46
35,Kansas City,97723,66641,"$87,081.00","$22,968,763.00","$6,255,056.00",124,266,20,77,5,16,3,2,1,1,0,1,20,2,5,5,0,1,1,1,0,1,1,1,1,3,1,2,10,2.212,1.50
36,Kitchener,33856,16899,"$13,355.00","$5,342,614.00","$1,268,604.00",64,69,20,59,2,6,2,2,1,1,0,0,14,3,4,3,0,0,1,1,0,1,1,1,0,3,1,3,6,3.120,2.14
37,Knoxville,46494,23374,"$12,488.00","$5,354,704.00","$1,836,016.00",40,48,20,77,0,0,2,2,0,1,0,0,10,4,5,1,0,1,1,1,0,1,1,1,0,3,1,3,15,3.432,4.38
38,Lansing,26139,15544,"$16,571.00","$4,854,202.00","$1,287,933.00",20,33,21,21,2,3,2,2,0,1,0,0,8,4,5,5,1,1,1,1,0,1,1,1,0,1,1,3,2,3.711,3.21
39,Las Vegas,47911,27735,"$69,963.00","$11,191,565.50","$2,613,410.50",67,111,19,58,6,17,2,2,1,1,1,1,4,3,5,1,0,1,1,1,0,1,1,1,0,1,1,5,2,1.784,2.64
40,Les Cedres,66425,40397,"$66,601.50","$15,884,335.00","$5,322,697.50",68,92,50,64,7,20,2,2,1,1,1,1,4,2,2,1,1,1,1,1,0,1,0,0,0,3,1,4,2,1.998,3.68
41,Lexington,67725,47226,"$86,575.00","$14,129,056.00","$5,656,072.00",92,130,22,50,11,27,2,2,0,0,0,0,0,2,5,3,0,1,1,1,0,1,1,0,0,1,1,1,8,3.854,2.97
42,Lincoln,14486,9803,"$13,124.22","$2,828,942.22","$1,038,871.42",25,32,62,46,2,5,1,2,1,1,0,1,6,1,4,1,0,0,1,1,0,1,1,1,0,2,1,10,11,2.976,3.16
43,Little Rock,35890,19705,"$24,337.00","$5,998,074.00","$1,070,710.00",76,66,52,29,5,13,3,2,0,1,1,1,6,1,1,1,0,0,1,1,0,0,1,0,0,1,0,10,1,1.765,1.22
44,Long Beach,27044,17434,"$16,093.97","$4,307,278.55","$958,154.43",25,55,39,49,6,23,2,2,0,1,0,1,3,3,4,5,0,0,1,1,0,1,0,1,0,0,1,6,1,3.033,4.23
